Question	Option1	Option2	Option3	CorrectIndex											
What is a male duck called?	Hen	Drake	Rooster	1											
Which type of duck is known for its colourful plumage and is native to East Asia?	Mandarin duck	Peking duck	Mallard	0											
What is the scientific name for the common mallard duck?	Anas platyrhynchos	Anas duckus	Anas quackquack	0											
What do ducks primarily eat?	Rocks	Meat	Insects and plants	2											
What sound does a duck make?	Chirp	Quack	Moo	1											
What is a group of ducks on water called?	Raft	Flock	Herd	0											
What is a baby duck called?	Chick	Duckling	Hatchling	1											
Which sense is most developed in ducks?	Hearing	Smell	Sight	2											
Ducks belong to which family?	Strigidae	Anatidae	Corvidae	1											
Why do ducks preen their feathers?	To attract predators	To make noise	To stay clean and waterproof	2											
Which duck migrates the farthest?	Eider Duck	Northern Pintail	Mallard	1											
How do ducks sleep without sinking?	Hold breath	Climb onto trees	Tuck one leg and float	2											
Ducks have webbed feet  What is the main purpose?	Climbing	Swimming	Walking	1											
Which is the largest species of duck?	Muscovy Duck	Common Eider	Mandarin Duck	1											
Why do ducks often migrate?	To avoid humans	For breeding and warmer climate	For food fights	1											
What is the average lifespan of a wild duck?	5 to 10 years	10 to 15 years	15 to 20 years	0											
Which duck is known for its unique whistle like call?	Wood Duck	Mallard	Teal	0											
What is the primary habitat of the Northern Shoveler duck?	Freshwater wetlands	Coastal beaches	Mountain lakes	0											
What adaptation helps ducks stay afloat?	Air sacs	Heavy bones	Sharp claws	0											
What is the typical clutch size for a duck?	8 to 12 eggs	3 to 5 eggs	15 to 20 eggs	0											
Which sense helps ducks navigate during migration?	Magnetoreception	Smell	Hearing	0											
What colour are mallard drakes heads?	Green	Brown	Blue	0											
How do ducks clean their feathers?	Preening	Shaking water	Bathing in mud	0											
Which duck is commonly domesticated?	Pekin	Wood Duck	Mallard	0											
What is a ducks primary defense mechanism?	Flight	Hissing	Pecking	0											
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															Which cartoon studio is known for Daffy Duck?,Warner Bros,Disney,Pixar,0
															Which animated duck is known for chaotic humour?,Daffy Duck,Donald Duck,Scrooge McDuck,0
															Which duck character is a superhero parody?,Darkwing Duck,Donald Duck,Daffy Duck,0
															Which animation style often features slapstick duck comedy?,Looney Tunes,Anime,Stop motion,0
															Which duck appears in DuckTales?,Scrooge McDuck,Mickey Mouse,Goofy,Pluto,0
															Which book features a duck that feels different from others?,The Ugly Duckling,Peter Pan,Wind in the Willows,Charlotte’s Web,0
															What is the main theme of The Ugly Duckling?,Transformation and identity,Speed racing,Space travel,Money and greed,0
															What does the Ugly Duckling become?,A swan,A goose,A crow,A sparrow,0
															Which author wrote The Ugly Duckling?,Hans Christian Andersen,Roald Dahl,Brothers Grimm,Dr Seuss,0
															In literature, what does a swan often symbolise?,Change and beauty,Chaos and war,Speed and strength,Noise and energy,0
															Which video game series features duck characters raising and training them?,Duck Life,Angry Birds,Minecraft,Roblox,0
															What is the main goal in Duck Life games?,Train ducks to race,Build houses,Fight dragons,Collect coins only,0
															Which type of game often uses ducks as mascots or characters?,Casual mobile games,Only horror games,Only racing sims,Only puzzle books,0
															What often happens in duck-themed indie games?,Training or collecting ducks,Space battles only,Car racing only,Chess tournaments,0
															Which of these is a common feature in duck games?,Leveling up stats,Building cars,Shooting aliens only,Cooking recipes,0
															What is a rubber duck mainly used for?,Bath toy,Food decoration,Musical instrument,Tool for writing,0
															Why are rubber ducks popular in baths?,They float,They glow in the dark,They swim away,They change colour,0
															What is “rubber duck debugging” used for?,Programming problem solving,Swimming training,Music production,Cooking recipes,0
															What material are most rubber ducks made from?,Plastic or rubber,Wood,Metal,Glass,0
															Which of these is a common duck toy?,Bath rubber duck,Action figure car,Robot dog,Plastic sword,0 
