What is a male duck called?	Hen	Drake	Rooster	1
Which type of duck is known for its colourful plumage and is native to East Asia?	Mandarin duck	Peking duck	Mallard	0
What is the scientific name for the common mallard duck?	Anas platyrhynchos	Anas duckus	Anas quackquack	0
What do ducks primarily eat?	Rocks	Meat	Insects and plants	2
What sound does a duck make?	Chirp	Quack	Moo	1
What is a group of ducks on water called?	Raft	Flock	Herd	0
What is a baby duck called?	Chick	Duckling	Hatchling	1
Which sense is most developed in ducks?	Hearing	Smell	Sight	2
Ducks belong to which family?	Strigidae	Anatidae	Corvidae	1
Why do ducks preen their feathers?	To attract predators	To make noise	To stay clean and waterproof	2
Which duck migrates the farthest?	Eider Duck	Northern Pintail	Mallard	1
How do ducks sleep without sinking?	Hold breath	Climb onto trees	Tuck one leg and float	2
Ducks have webbed feet  What is the main purpose?	Climbing	Swimming	Walking	1
Which is the largest species of duck?	Muscovy Duck	Common Eider	Mandarin Duck	1
Why do ducks often migrate?	To avoid humans	For breeding and warmer climate	For food fights	1
What is the average lifespan of a wild duck?	5 to 10 years	10 to 15 years	15 to 20 years	0
Which duck is known for its unique whistle like call?	Wood Duck	Mallard	Teal	0
What is the primary habitat of the Northern Shoveler duck?	Freshwater wetlands	Coastal beaches	Mountain lakes	0
What adaptation helps ducks stay afloat?	Air sacs	Heavy bones	Sharp claws	0
What is the typical clutch size for a duck?	8 to 12 eggs	3 to 5 eggs	15 to 20 eggs	0
Which sense helps ducks navigate during migration?	Magnetoreception	Smell	Hearing	0
What colour are mallard drakes heads?	Green	Brown	Blue	0
How do ducks clean their feathers?	Preening	Shaking water	Bathing in mud	0
Which duck is commonly domesticated?	Pekin	Wood Duck	Mallard	0
What is a ducks primary defense mechanism?	Flight	Hissing	Pecking	0
